,year,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,< 20,gender
0,2017,36307,85997,41256,16595,7946,4391,3143,2170,1389,1712,2835,male
1,2018,36607,85835,42331,16833,8202,4717,3185,2348,1474,1963,2857,male
2,2019,34625,85217,41143,17431,8208,4851,3211,2576,1597,1951,2851,male
3,2020,33394,79590,35574,14892,6912,3955,2544,2066,1419,1813,2430,male
4,2021,39269,95980,42005,16953,7611,4073,2692,1920,1362,1860,2248,male
5,2022,35456,88437,44374,19423,9544,5417,3430,2625,1834,2339,1945,male
0,2017,59295,81555,28678,11423,5477,3287,1997,1083,546,362,10038,female
1,2018,58471,81862,29965,12219,5893,3714,2303,1233,618,401,9673,female
2,2019,55276,81876,29638,12736,6308,3800,2480,1309,701,430,9107,female
3,2020,51825,75019,25433,11116,5438,3277,2140,1294,654,486,7907,female
4,2021,60087,91355,29935,12689,5968,3616,2052,1271,729,474,7797,female
5,2022,52995,86754,33896,15254,7753,4761,2871,1785,1018,633,7104,female
